t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
304714.799,-0.970,0.043,0.072,0.229,85,75,82,71,26,0,41,43,0,0.000,0,0,23.852,1.353,4.860,23.100,-3.420,-0.061,-0.007,0.994,1.048,-0.856,-0.086,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.710,-6.893,26.943,-6.710,-6.893,26.943
304719.799,-0.970,0.043,0.072,0.229,77,61,85,73,10,0,47,40,0,0.000,0,0,15.182,1.352,5.840,13.820,-2.320,-0.070,-0.006,0.988,1.048,-0.854,-0.162,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.701,-6.949,26.937,-6.701,-6.949,26.937
304724.799,-0.970,0.043,0.073,0.229,91,92,60,66,21,0,43,41,0,0.000,0,0,9.122,1.286,6.320,6.060,-2.560,-0.085,-0.004,0.986,0.962,-0.854,-0.202,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.695,-6.971,26.926,-6.695,-6.971,26.926
304729.799,-0.970,0.042,0.073,0.228,89,64,61,64,19,0,38,44,0,0.000,0,0,6.889,1.209,5.780,1.920,-3.220,-0.092,0.000,0.988,0.818,-0.890,-0.202,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.686,-6.974,26.909,-6.686,-6.974,26.909
304734.799,-0.970,0.042,0.072,0.228,59,93,69,43,47,0,55,25,0,0.000,0,0,6.295,1.206,4.500,-1.320,-4.200,-0.085,-0.002,0.987,0.814,-0.890,-0.194,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.670,-6.959,26.885,-6.670,-6.959,26.885
304739.799,-0.970,0.042,0.072,0.228,87,87,59,61,35,0,29,15,0,0.000,0,0,8.462,1.199,2.840,-6.620,-4.440,-0.068,-0.003,0.990,0.814,-0.880,-0.180,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.644,-6.914,26.856,-6.644,-6.914,26.856
304744.799,-0.970,0.042,0.071,0.228,48,70,76,39,43,0,67,12,0,0.000,0,0,15.306,1.254,1.620,-14.680,-4.020,-0.058,0.002,0.991,0.956,-0.812,-0.180,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.614,-6.826,26.825,-6.614,-6.826,26.825
304749.799,-0.970,0.042,0.070,0.228,54,69,77,33,29,2,73,14,0,0.000,0,0,25.633,1.241,1.920,-25.420,-2.680,-0.049,0.008,0.993,1.008,-0.724,-0.180,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.596,-6.686,26.795,-6.596,-6.686,26.795
304754.799,-0.970,0.043,0.068,0.228,44,61,81,39,37,0,64,19,0,0.000,0,0,38.579,1.226,4.500,-38.300,-1.100,-0.035,0.013,0.994,1.042,-0.646,-0.158,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.602,-6.487,26.766,-6.602,-6.487,26.766
304759.799,-0.971,0.044,0.066,0.227,72,75,55,73,28,0,45,57,0,0.000,0,0,54.391,1.247,7.900,-53.800,1.220,-0.007,0.017,0.993,1.118,-0.552,-0.158,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.638,-6.219,26.741,-6.638,-6.219,26.741
304764.801,-0.971,0.045,0.063,0.227,65,89,57,71,15,0,33,25,0,0.000,0,0,74.244,1.371,10.840,-73.340,3.980,0.020,0.022,0.995,1.302,-0.428,-0.188,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.689,-5.852,26.718,-6.689,-5.852,26.718
304769.799,-0.971,0.046,0.059,0.228,87,93,53,43,43,0,44,18,0,0.000,0,0,97.830,1.498,13.100,-96.720,6.660,0.044,0.024,0.995,1.468,-0.298,-0.190,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.752,-5.368,26.694,-6.752,-5.368,26.694
304774.799,-0.971,0.048,0.054,0.228,87,93,59,69,7,0,37,18,0,0.000,0,0,125.369,1.613,15.120,-124.060,9.900,0.076,0.024,0.991,1.598,-0.220,-0.200,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.825,-4.745,26.670,-6.825,-4.745,26.670
304779.799,-0.971,0.051,0.048,0.228,81,60,89,72,21,5,49,41,0,0.000,0,0,155.980,1.791,15.720,-154.640,13.000,0.104,0.038,0.986,1.786,-0.134,-0.252,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.901,-3.970,26.642,-6.901,-3.970,26.642
304784.799,-0.971,0.053,0.040,0.228,77,91,55,67,29,0,41,22,0,0.000,0,0,190.172,1.862,11.320,-189.480,11.600,0.139,0.054,0.971,1.862,0.038,-0.284,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.954,-3.022,26.585,-6.954,-3.022,26.585
304789.799,-0.972,0.055,0.030,0.228,47,67,53,37,30,0,57,19,0,0.000,0,0,230.610,1.954,0.820,-230.500,7.080,0.198,0.043,0.937,1.936,0.266,-0.404,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.953,-1.873,26.481,-6.953,-1.873,26.481
304794.799,-0.972,0.058,0.018,0.227,77,57,69,71,27,0,36,40,0,0.000,0,0,276.104,2.337,-9.920,-275.920,1.780,0.264,0.019,0.920,2.308,0.364,-0.728,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.899,-0.502,26.323,-6.899,-0.502,26.323
304799.801,-0.972,0.060,0.004,0.226,77,95,56,63,22,0,35,45,0,0.000,0,0,319.906,2.806,-15.960,-319.500,-2.200,0.298,-0.004,0.941,2.782,0.364,-0.728,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.820,1.083,26.122,-6.820,1.083,26.122
304804.799,-0.972,0.063,-0.011,0.225,54,69,83,36,28,4,75,44,0,0.000,0,0,355.695,2.804,-15.960,-355.320,-3.480,0.310,-0.002,0.979,2.798,0.178,-0.618,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.748,2.845,25.894,-6.748,2.845,25.894
304809.799,-0.972,0.066,-0.027,0.224,79,92,47,60,35,0,33,24,0,0.000,0,0,381.023,2.799,-9.000,-380.900,-3.540,0.309,0.007,1.025,2.798,0.078,-0.162,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.718,4.734,25.653,-6.718,4.734,25.653
304814.799,-0.971,0.070,-0.044,0.222,87,85,55,45,33,0,59,21,0,0.000,0,0,396.238,2.455,0.400,-396.220,-3.720,0.303,0.000,1.078,2.454,-0.058,0.374,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.743,6.700,25.401,-6.743,6.700,25.401
304819.799,-0.971,0.074,-0.061,0.221,43,71,73,53,41,6,71,20,0,0.000,0,0,401.783,2.117,7.180,-401.700,-3.840,0.299,-0.016,1.126,2.082,-0.386,0.938,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.813,8.692,25.143,-6.813,8.692,25.143
304824.799,-0.969,0.079,-0.078,0.220,69,77,45,73,16,0,38,43,0,0.000,0,0,398.439,1.923,10.360,-398.280,-4.380,0.308,-0.040,1.164,1.746,-0.806,1.436,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.908,10.667,24.879,-6.908,10.667,24.879
304829.799,-0.968,0.083,-0.094,0.218,47,71,85,39,41,0,63,17,0,0.000,0,0,388.631,1.968,8.460,-388.520,-3.840,0.316,-0.051,1.180,1.530,-1.238,1.812,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.002,12.593,24.620,-7.002,12.593,24.620
