t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
11810.811,1.000,0.018,-0.000,-0.000,79,100,52,42,11,0,37,18,0,0.000,0,0,0.705,0.014,-0.100,-0.620,0.320,-0.003,-0.036,1.004,-0.012,0.008,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.040,-0.001,2.111,-0.040,-0.001
11815.811,1.000,0.018,-0.000,-0.000,46,67,89,31,41,5,71,43,0,0.000,0,0,1.772,0.026,0.020,-1.420,1.060,-0.006,-0.038,1.001,-0.026,0.000,0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.035,0.005,2.111,-0.035,0.005
11820.811,1.000,0.018,-0.000,-0.000,56,69,83,41,40,6,75,39,0,0.000,0,0,2.400,0.026,0.440,-0.800,2.220,0.010,-0.036,1.001,-0.026,0.004,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.028,0.016,2.111,-0.028,0.016
11825.811,1.000,0.018,-0.000,-0.000,63,99,63,50,40,5,59,25,0,0.000,0,0,3.909,0.052,1.600,1.140,3.380,-0.031,-0.017,1.005,-0.052,0.004,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.097,-0.043,0.032,2.097,-0.043,0.032
11830.811,1.000,0.018,-0.001,-0.000,89,103,61,75,26,0,44,25,0,0.000,0,0,7.534,0.294,5.500,1.580,4.900,-0.117,-0.060,1.002,-0.294,0.004,0.004,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.076,-0.083,0.056,2.076,-0.083,0.056
11835.811,1.000,0.018,-0.001,-0.001,57,71,76,41,45,3,69,25,0,0.000,0,0,10.955,1.103,1.240,-0.320,10.880,-0.114,-0.022,1.000,-1.096,0.128,0.004,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.066,-0.117,0.109,2.066,-0.117,0.109
11840.811,1.000,0.018,-0.001,-0.001,86,91,60,77,21,0,47,36,0,0.000,0,0,5.041,1.096,1.720,-0.860,4.660,-0.089,-0.039,1.001,-1.096,-0.032,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.057,-0.137,0.131,2.057,-0.137,0.131
11845.811,1.000,0.018,-0.001,-0.001,49,61,89,21,45,5,60,26,0,0.000,0,0,4.721,1.032,0.940,0.780,-4.560,-0.107,0.000,1.006,-1.024,0.128,-0.012,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.042,-0.169,0.107,2.042,-0.169,0.107
11850.811,1.000,0.018,-0.002,-0.000,60,75,59,51,37,0,69,17,0,0.000,0,0,17.009,1.079,-1.320,0.780,-16.940,-0.114,0.001,1.012,-1.024,0.340,0.028,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.039,-0.198,0.022,2.039,-0.198,0.022
11855.813,1.000,0.018,-0.002,0.001,59,87,64,39,39,2,60,16,0,0.000,0,0,30.232,1.085,1.060,0.900,-30.200,-0.103,0.007,0.995,-1.024,0.358,0.028,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.026,-0.215,-0.130,2.026,-0.215,-0.130
